nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Florence_p,France,1,2019-06-11,Bonne adresse,"Très bel hotel, disposant d'une piscine intérieur. Le personnel est vraiment aimable et très efficace. La chambre est très agréable avec des lits très confortable, et le petit déj offrait beaucoup de choix.",None,10,Hôtel,Sydney," 8,0 "
Robert,Canada,0,2019-10-21,Bien ,A part les portes c'était propre.La piscine et le sauna étaient agréables.,"Plancher très usé, porte difficile à fermer, porte mal lavé","7,1",Hôtel,Sydney," 8,0 "
Philippe,Belgique,0,2019-10-07,Sympa!,Amabilité du personnel. Chambre agréable. Confortable.,Le petit déjeuner était moyen.,"8,3",Hôtel,Sydney," 8,0 "
Lucie,Canada,0,2019-08-28,Un séjour agréable ; oui j'y retournerai.,"Le confort des lits doubles, la situation géographique à 30 minutes de Louisbourg et près du port de Sydney, les déjeuners chauds, la disponibilité du personnel. Le stationnement est gratuit.","L'étroitesse de la salle de bain, le climatiseur un peu bruyant.","9,2",Hôtel,Sydney," 8,0 "
Denis,Canada,0,2019-08-25,Bien ,Tres confortable. Bon environnement.,Menage de la chambre absent.,"7,9",Hôtel,Sydney," 8,0 "
Josee,Canada,0,2019-08-06,Bon rapport qualité-prix,Bon rapport qualité-prix. Restaurant sur place très bien.,None,"7,5",Hôtel,Sydney," 8,0 "
Louis,Canada,0,2019-07-27,Bien ,"Le sourire du personnel, la propreté de l’eau de la piscine, le confort des lits.","Besoin de rénovations, le gravier dans le stationnement arrière pour nos valises à roulettes, le manque de fruits frais et de variété de thés.","7,1",Hôtel,Sydney," 8,0 "
Nathalie,Canada,0,2019-07-23,Fabuleux ,Petit déjeuner dans la salle a diner! Très apprécié!,None,"9,2",Hôtel,Sydney," 8,0 "
Johanne,Canada,0,2019-07-21,Bien ,Le déjeuner était inclus c était bien,"Il n y a pas élévateur, et aurais besoin un peu rénovation","7,9",Hôtel,Sydney," 8,0 "
Veronique,Canada,0,2019-07-11,Bien ,La piscine !,None,"7,5",Hôtel,Sydney," 8,0 "
Regis,Canada,0,2018-09-23,Bien ,Emplacement,Le café n'était pas bon. Les équipements de gym ne fonctionnait pas tous.,"7,1",Hôtel,Sydney," 8,0 "
Yann,Canada,0,2018-09-22,Hôtel Sydney,"Hôtel bien tenu, confortable et le petit-déjeuner agréable. Le personnel souriant.",Rien,"9,2",Hôtel,Sydney," 8,0 "
Line,Canada,0,2018-09-01,Bien situé. Bon service,"Chambre spacieuse, bon petit déjeuner",Climatisation bruyante.,"7,5",Hôtel,Sydney," 8,0 "
<<<<<<< HEAD
Richard,Canada,0,2018-08-27,Bien ,La qualité des chambres et équipement,La qualité des chambres et équipement,"7,5",Hôtel,Sydney," 8,0 "
Luc,Canada,0,2018-08-17,Agréablement surpris de l'hotel mais déçu de la ville de Sydney.,"Lits confortables, salle de bain très propre et petit déjeuner complet. Eau fraiche offerte dans le hall.",Pas de restaurants à cuisine familliale dans les environs. Couloir un peu étroit.,"9,2",Hôtel,Sydney," 8,0 "
Melissa,Canada,0,2018-07-31,Pratique!,"Chambre spacieuse, comfortable et bien organisée. Le four micro-ondes et le mini-frigidaire incluant un congélateur étaient des atouts.","Peu de prises de courant pour y brancher nos appareils - ports usb, par exemple.","7,5",Hôtel,Sydney," 8,0 "
Véronique,Canada,0,2018-07-26,Bien ,Chambre rénovée et confortable. Piscine sentait un peu trop le chlore. Déjeuner continentale correct.,None,"7,5",Hôtel,Sydney," 8,0 "
Daniel,Canada,0,2018-07-25,Très bien,Odeur d'humidité..,Odeur d'humidité..,"8,3",Hôtel,Sydney," 8,0 "
Celine,Canada,0,2019-08-30,Passable,Déjeuner. Décor de la chambre.,"Service de chambre, installation concernant le spa. Aurait pu être en plein air.","5,4",Hôtel,Sydney," 8,0 "
Carole,Canada,0,2019-08-28,Exceptionnel,Très acceuillant,None,10,Hôtel,Sydney," 8,0 "
Jean,Canada,0,2019-08-21,Exceptionnel,Accueil des préposés... ok mais mécaniques et sans enthousiasme!,Accueil des préposés... ok mais mécaniques et sans enthousiasme!,"9,6",Hôtel,Sydney," 8,0 "
Bernard,Canada,0,2019-08-17,Ordinaire et dispendieux qualité prix.,Pas grand chose.seulement l’emplacement,La propreté ordinaire et la senteur d’humidité.le tapis dès passage très ordinaire et une peinture dans le couloir serait approprié.,"5,0",Hôtel,Sydney," 8,0 "
Hélène,Canada,0,2019-08-15,"Très déçus, nous ne le recommandons pas",Les arrangements floraux à l’entrée extérieure,Ventilation inexistante dans la salle de bain - lits trop mous - senteur humidité dans les couloirs - séchoir cheveux hors d’usage - présence de moisissures et rouille dans la salle de bain -fenêtres et portes de l’hôtel propreté laisse à désirer- déjeuner: qualité de nourriture bas de gamme - absence d’ascenseur pour édifice de 3 étages - stationnement arrière en gravier et pente = accès devenant sale,"3,3",Hôtel,Sydney," 8,0 "
Donald,Canada,0,2019-08-10,"Très ordinaire, entretien négligé...","Propreté générale déficiente, chambre défraîchie, déjeuner ordinaire : saucisses peu cuites, longue attente pour les œufs brouillés, espace mal organisé (file d’attente, circulation pas fluide..). Équipements désuets. Nombreuses taches sur les murs... Franchement ordinaire. Par contre le personnel est très courtois. Piscine ok mais pourtour sale... il a fallu demander pour les serviettes, pas de lumière dans le sauna...","Propreté générale déficiente, chambre défraîchie, déjeuner ordinaire : saucisses peu cuites, longue attente pour les œufs brouillés, espace mal organisé (file d’attente, circulation pas fluide..). Équipements désuets. Nombreuses taches sur les murs... Franchement ordinaire. Par contre le personnel est très courtois. Piscine ok mais pourtour sale... il a fallu demander pour les serviettes, pas de lumière dans le sauna...","5,8",Hôtel,Sydney," 8,0 "
Josée,Canada,0,2019-08-02,Décevant,"Lit hyper mou, senteurs corridor (humidité) décor désuet, emplacement manque d'amour...","Lit hyper mou, senteurs corridor (humidité) décor désuet, emplacement manque d'amour...","4,6",Hôtel,Sydney," 8,0 "
=======
Richard,Canada,0,2018-08-27,Bien ,None,La qualité des chambres et équipement,"7,5",Hôtel,Sydney," 8,0 "
Luc,Canada,0,2018-08-17,Agréablement surpris de l'hotel mais déçu de la ville de Sydney.,"Lits confortables, salle de bain très propre et petit déjeuner complet. Eau fraiche offerte dans le hall.",Pas de restaurants à cuisine familliale dans les environs. Couloir un peu étroit.,"9,2",Hôtel,Sydney," 8,0 "
Melissa,Canada,0,2018-07-31,Pratique!,"Chambre spacieuse, comfortable et bien organisée. Le four micro-ondes et le mini-frigidaire incluant un congélateur étaient des atouts.","Peu de prises de courant pour y brancher nos appareils - ports usb, par exemple.","7,5",Hôtel,Sydney," 8,0 "
Véronique,Canada,0,2018-07-26,Bien ,Chambre rénovée et confortable. Piscine sentait un peu trop le chlore. Déjeuner continentale correct.,None,"7,5",Hôtel,Sydney," 8,0 "
Daniel,Canada,0,2018-07-25,Très bien,None,Odeur d'humidité..,"8,3",Hôtel,Sydney," 8,0 "
Celine,Canada,0,2019-08-30,Passable,Déjeuner. Décor de la chambre.,"Service de chambre, installation concernant le spa. Aurait pu être en plein air.","5,4",Hôtel,Sydney," 8,0 "
Carole,Canada,0,2019-08-28,Exceptionnel,Très acceuillant,None,10,Hôtel,Sydney," 8,0 "
Jean,Canada,0,2019-08-21,Exceptionnel,None,Accueil des préposés... ok mais mécaniques et sans enthousiasme!,"9,6",Hôtel,Sydney," 8,0 "
Bernard,Canada,0,2019-08-17,Ordinaire et dispendieux qualité prix.,Pas grand chose.seulement l’emplacement,La propreté ordinaire et la senteur d’humidité.le tapis dès passage très ordinaire et une peinture dans le couloir serait approprié.,"5,0",Hôtel,Sydney," 8,0 "
Hélène,Canada,0,2019-08-15,"Très déçus, nous ne le recommandons pas",Les arrangements floraux à l’entrée extérieure,Ventilation inexistante dans la salle de bain - lits trop mous - senteur humidité dans les couloirs - séchoir cheveux hors d’usage - présence de moisissures et rouille dans la salle de bain -fenêtres et portes de l’hôtel propreté laisse à désirer- déjeuner: qualité de nourriture bas de gamme - absence d’ascenseur pour édifice de 3 étages - stationnement arrière en gravier et pente = accès devenant sale,"3,3",Hôtel,Sydney," 8,0 "
Donald,Canada,0,2019-08-10,"Très ordinaire, entretien négligé...",None,"Propreté générale déficiente, chambre défraîchie, déjeuner ordinaire : saucisses peu cuites, longue attente pour les œufs brouillés, espace mal organisé (file d’attente, circulation pas fluide..). Équipements désuets. Nombreuses taches sur les murs... Franchement ordinaire. Par contre le personnel est très courtois. Piscine ok mais pourtour sale... il a fallu demander pour les serviettes, pas de lumière dans le sauna...","5,8",Hôtel,Sydney," 8,0 "
Josée,Canada,0,2019-08-02,Décevant,None,"Lit hyper mou, senteurs corridor (humidité) décor désuet, emplacement manque d'amour...","4,6",Hôtel,Sydney," 8,0 "
>>>>>>> f88eee5982654095973a555331e98227e96b0738
Jean-francois,Canada,0,2019-08-01,Passable,Le personnel,"L’hôtel est vieux , mal entretenue et sale. Il y avait de la moisissure sur un mur et plafond de la salle de bain . Ca sent le renfermé, les draps avait certains poils ou cheveux a notre arrivée. Nous avons pris une chambre pour 4. A chaque jours nous avons du aller chercher des serviettes supplémentaires. Les planchers était brun de saleté et le buffet déjeuner avait très peu de choix . Le café goûte le vieux. Par chance la serveuse était professionnelle et souriante.","5,0",Hôtel,Sydney," 8,0 "
Mmorency,Canada,0,2018-09-22,Excellent rapport qualité-prix.,Excellent accueil et service du personnel.,Un ascenceur serait apprécié.,"9,6",Hôtel,Sydney," 8,0 "
Marie,Canada,0,2018-08-29,Exceptionnel,"Déjeuner fourni, piscine, propreté, frigidaire et micro-ondes dans la chambre",État extérieur du bâtiment,"9,6",Hôtel,Sydney," 8,0 "
Josée,Canada,0,2018-08-12,Exceptionnel,"Lits confortables, température de la chambre parfaite. Silencieuse.",None,10,Hôtel,Sydney," 8,0 "
Anonyme,Canada,0,2019-06-18,Très bien,Emplacement et le déjeuner,Le sėche cheveux défectueux et la machine à glaces.,"8,3",Hôtel,Sydney," 8,0 "
Anonyme,France,0,2018-08-19,Superbe,Très propre très bon petit déjeuner,None,"8,8",Hôtel,Sydney," 8,0 "
Anonyme,Canada,0,2019-08-19,"Hôtel agréable, personnel accueillant, belle piscine intérieure.","Les lits étaient confortables et très propres, le personnel courtois et avenant, belle piscine et sauna intérieurs pour relaxer et la formule petit-déjeuner inclus est parfaite et c'est bon.","pas de ventilateur de chambre de bain, l'électricité pour les lumières de chevet et le réveil-matin est compliquée (faut pas fermer les lumières de chevet à un certain endroit sinon on ferme aussi le cadran), propreté de la chambre moyenne à l'arrivée (poussière un peu partout et bain-douche moyen propre ie:moisissure sous la poignée pour se tenir dans le bain)","6,2",Hôtel,Sydney," 8,0 "
Dany,Canada,0,2019-08-24,Agréable,Ce client n'a pas laissé de commentaire.,None,"6,7",Hôtel,Sydney," 8,0 "
Jean,France,0,2019-08-07,Bien ,Ce client n'a pas laissé de commentaire.,None,"7,9",Hôtel,Sydney," 8,0 "
Jean,France,0,2019-08-06,Bien ,Ce client n'a pas laissé de commentaire.,None,"7,5",Hôtel,Sydney," 8,0 "
Thérèse,Canada,0,2019-08-05,Fabuleux ,Ce client n'a pas laissé de commentaire.,None,"9,0",Hôtel,Sydney," 8,0 "
Normand,Canada,0,2019-08-03,Fabuleux ,Ce client n'a pas laissé de commentaire.,None,"9,2",Hôtel,Sydney," 8,0 "
Karol-ann,Canada,0,2019-08-02,Bien ,Ce client n'a pas laissé de commentaire.,None,"7,1",Hôtel,Sydney," 8,0 "
Yvon,Canada,0,2019-07-19,Très bien,Ce client n'a pas laissé de commentaire.,None,"8,0",Hôtel,Sydney," 8,0 "
Marie-france,Canada,0,2019-07-11,Superbe,Ce client n'a pas laissé de commentaire.,None,"8,8",Hôtel,Sydney," 8,0 "
Maxime,Canada,0,2018-10-10,Bien ,Ce client n'a pas laissé de commentaire.,None,"7,1",Hôtel,Sydney," 8,0 "
